date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:31	193382/193382	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Jun%202023%2015:50:28%20GMT	http://manifesto.clapat.com/images/00hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/00hero.jpg	(from http://manifesto.clapat.com/)
22:37:38	234505/234505	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202023%2009:40:51%20GMT	http://manifesto.clapat.com/images/01hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/01hero.jpg	(from http://manifesto.clapat.com/)
22:37:45	71157/71157	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-6cbd%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	(from http://manifesto.clapat.com/)
22:37:46	89503/89503	---M--	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2001:58:30%20GMT	http://manifesto.clapat.com/js/jquery.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/jquery.min.js	(from http://manifesto.clapat.com/)
22:37:49	24875/24875	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-2521%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/Flip.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/Flip.min.js	(from http://manifesto.clapat.com/)
22:37:49	40596/40596	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-4106%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js	(from http://manifesto.clapat.com/)
22:37:52	5485/5485	---M-Z	200	added ('OK')	application/javascript	etag:%226212faf2-6f6%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/5.0.0/imagesloaded.pkgd.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/5.0.0/imagesloaded.pkgd.min.js	(from http://manifesto.clapat.com/)
22:37:56	48032/48032	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-bba0%22	https://cdnjs.cloudflare.com/ajax/libs/smooth-scrollbar/8.4.0/smooth-scrollbar.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/smooth-scrollbar/8.4.0/smooth-scrollbar.js	(from http://manifesto.clapat.com/)
22:38:01	23837/23837	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Aug%202023%2016:37:21%20GMT	http://manifesto.clapat.com/js/clapat.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/clapat.js	(from http://manifesto.clapat.com/)
22:38:10	449327/449327	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20May%202023%2014:30:31%20GMT	http://manifesto.clapat.com/images/03hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/03hero.jpg	(from http://manifesto.clapat.com/)
22:38:11	66750/66750	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Jun%202023%2007:49:57%20GMT	http://manifesto.clapat.com/js/plugins.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/plugins.js	(from http://manifesto.clapat.com/)
22:38:14	6158/6158	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202022%2012:20:25%20GMT	http://manifesto.clapat.com/js/contact.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/contact.js	(from http://manifesto.clapat.com/)
22:38:15	603445/603445	---M-Z	200	added ('OK')	application/javascript	etag:%2260829d5c-93535%22	https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js	C:/Users/akshi/OneDrive/Desktop/portfolio/cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js	(from http://manifesto.clapat.com/)
22:38:16	25557/25557	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2012:36:33%20GMT	http://manifesto.clapat.com/css/content.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/css/content.css	(from http://manifesto.clapat.com/style.css)
22:38:18	62440/62440	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2012:40:29%20GMT	http://manifesto.clapat.com/css/showcase.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/css/showcase.css	(from http://manifesto.clapat.com/style.css)
22:38:21	77957/77957	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2012:49:38%20GMT	http://manifesto.clapat.com/css/shortcodes.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/css/shortcodes.css	(from http://manifesto.clapat.com/style.css)
22:38:22	16969/16969	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:49:28%20GMT	http://manifesto.clapat.com/css/assets.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/css/assets.css	(from http://manifesto.clapat.com/style.css)
22:38:25	16504/16504	---M--	200	added ('OK')	font/woff2	date:Wed,%2017%20May%202023%2010:32:42%20GMT	http://manifesto.clapat.com/webfonts/mona-sans-extraboldwide-webfont.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/mona-sans-extraboldwide-webfont.woff2	(from http://manifesto.clapat.com/style.css)
22:38:29	21900/21900	---M--	200	added ('OK')	font/woff	date:Wed,%2017%20May%202023%2010:32:42%20GMT	http://manifesto.clapat.com/webfonts/mona-sans-extraboldwide-webfont.woff	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/mona-sans-extraboldwide-webfont.woff	(from http://manifesto.clapat.com/style.css)
22:38:33	17288/17288	---M--	200	added ('OK')	font/woff2	date:Wed,%2017%20May%202023%2010:32:42%20GMT	http://manifesto.clapat.com/webfonts/mona-sans-lightwide-webfont.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/mona-sans-lightwide-webfont.woff2	(from http://manifesto.clapat.com/style.css)
22:38:35	127770/127770	---M--	200	added ('OK')	application/javascript	date:Sat,%2004%20Nov%202023%2012:52:23%20GMT	http://manifesto.clapat.com/js/common.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/common.js	(from http://manifesto.clapat.com/)
22:38:36	5381/5381	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Sep%202018%2022:00:17%20GMT	http://manifesto.clapat.com/images/rotate.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/rotate.png	(from http://manifesto.clapat.com/style.css)
22:38:37	119361/119361	---M--	200	added ('OK')	application/javascript	date:Sat,%2004%20Nov%202023%2013:01:59%20GMT	http://manifesto.clapat.com/js/scripts.js	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/js/scripts.js	(from http://manifesto.clapat.com/)
22:38:37	22872/22872	---M--	200	added ('OK')	font/woff	date:Wed,%2017%20May%202023%2010:32:42%20GMT	http://manifesto.clapat.com/webfonts/mona-sans-lightwide-webfont.woff	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/mona-sans-lightwide-webfont.woff	(from http://manifesto.clapat.com/style.css)
